"","Ad1","Ad2","Ad3","Ad1 CD3CD28","Ad2 CD3CD28","Ad3 CD3CD28"
"XLOC_006968",11,0,6,8,17,6
"XLOC_006969",0,0,0,1,0,0
"XLOC_006974",4,7,8,4,2,3
"XLOC_006987",3,2,5,0,0,0
"XLOC_006988",5,1,10,2,1,2
"XLOC_006995",0,0,1,0,0,0
"XLOC_006996",0,2,0,0,1,0
"XLOC_007001",42,24,45,28,42,25
"XLOC_007002",2,10,4,1,1,1
"XLOC_007032",10,7,3,12,14,3
"XLOC_007036",0,0,0,0,0,0
"XLOC_007037",16,12,12,14,19,15
"XLOC_007038",14,13,13,13,16,8
"XLOC_007044",3,3,2,3,1,0
"XLOC_007066",7,5,0,1,1,2
"XLOC_007067",26,17,21,12,26,6
"XLOC_007119",3,2,1,1,0,1
"XLOC_007137",1,0,0,0,1,0
"XLOC_007147",1,1,0,0,4,1
"XLOC_007230",1,0,0,0,0,1
"XLOC_007241",99,106,100,49,60,37
"XLOC_007242",7,11,7,2,14,4
"XLOC_007243",91,75,111,37,60,25
"XLOC_007244",25,19,19,13,14,6
"XLOC_007245",118,67,120,48,55,42
"XLOC_007246",796,808,1049,358,544,391
"XLOC_007247",259,343,321,125,174,110
"XLOC_007248",207,215,213,60,81,70
